id,hotel_name,marks,city,satisfaction,reviews,price,distances,descriptions,stars,breakfast
6670,Alveare Bed & Breakfast,5.7,CentralStation,Review score,212,385,1.7,Economy Double or Twin Room,0,Not included
6671,Sweet Rome,8.8,Aurelio,Excellent,262,277,5,Comfort Double Room with Balcony,3,Breakfast included
6672,Antica Dimora dell'Orso,7.8,Spagna,Good,250,434,1,Large Double Room,3,Not included
6673,Unicum Roma Suites,9.4,Rome,Wonderful,209,523,4.2,Deluxe Room,4,Breakfast included
6674,Terrace in Monti44a,9.5,RioneMonti,Exceptional,6,549,0.8,One-Bedroom House,4,Not included
6675,jean and france room,7.6,Tiburtino,Good,164,298,8.3,Deluxe King Room,0,Not included
6676,Prime Vatican Suites,8.4,Trionfale,Very Good,65,374,2.9,Deluxe Queen Room,3,Not included
6677,Fabrizio's Rooms,9.1,VaticanoPrati,Wonderful,191,570,1.9,Classic Triple Room,4,Not included
6678,Arch Rome Suites,9,Pantheon,Wonderful,1235,678,0.5,Triple Room,4,Breakfast included
6679,Hotel dei Borgognoni,8.7,Spagna,Excellent,422,871,0.8,Double Room (1 Adult),4,Breakfast included
6680,B&B Colorful Suite Yard,6.8,Gianicolense,Review score,357,373,2.6,Single Room,3,Not included
6681,Design Suite Trevi Fountain,9.2,Trevi,Wonderful,80,791,0.5,One-Bedroom Apartment,4,Not included
6682,Domus in Viridi,7.6,Aurelio,Good,209,251,7,Double Room with Shared Bathroom,0,Breakfast included
6683,Sunny Guest House,7.8,Rome,Good,680,335,2.2,Twin Room,3,Not included
6684,My Bed Vatican Museum,9.9,VaticanoPrati,Exceptional,358,720,2.8,Deluxe Double or Twin Room with City View,4,Breakfast included
6685,Harry's Bar Trevi Luxury Apartments - Mignanelli,9.3,Spagna,Wonderful,33,739,1.1,Apartment with Terrace,3,Not included
6686,Hotel Alexandra,8.1,ViaVeneto,Very Good,1212,468,1.1,Single Room,3,Not included
6687,La Residenza del Sole al Pantheon,8.7,Pantheon,Excellent,574,542,0.6,Double or Twin Room,4,Not included
6688,Hotel Balilla,9.2,CentralStation,Wonderful,482,315,2.4,Single Room,3,Not included
6689,IHH Suites Rome,8.7,Spagna,Excellent,208,519,1.6,Superior Double Room,4,Not included
6690,Giubbonari Suites,8.8,Navona,Excellent,376,495,0.7,King Room,4,Not included
6691,Raeli Hotel Regio,7.2,CentralStation,Good,485,281,1.7,Partner offer option,3,Not included
6692,Hotel Saint John,7.7,CentralStation,Good,859,469,2,Superior Double Room,4,Not included
6693,Catone District Hotel,7.8,VaticanoPrati,Good,653,403,2.4,Double Standard,3,Not included
6694,Roma In Una Stanza Guesthouse,8.4,VaticanoPrati,Very Good,218,392,3.4,Double Room,3,Breakfast included
6695,Hotel Eliseo,7.2,ViaVeneto,Good,406,393,1.5,Single Room,4,Breakfast included
6696,Albergo Abruzzi,8.9,Pantheon,Excellent,650,1100,0.6,Double or Twin Room with Pantheon View,3,Not included
6697,Suitedreams,8.6,CentralStation,Excellent,414,440,1.2,Standard Double or Twin Room,4,Not included
6698,Hotel Pace Helvezia,7.6,Trevi,Good,693,405,0.25,Single Room,4,Breakfast included
6699,HOTEL CAPRI,8.5,CentralStation,Very Good,2,296,1.8,Single Room,2,Not included
6700,Ostello Bello Roma Colosseo,9,RioneMonti,Wonderful,560,223,1.5,Bed in 6-Bed Mixed Dormitory Room,0,Not included
6701,B&B Casa Cimabue Roma,8.7,VillaBorgheseParioli,Excellent,59,354,3,Double or Twin Room with Bathroom,0,Not included
6702,Cinemovie,9.1,Rome,Wonderful,54,298,2.7,Superior King Room,3,Not included
6703,Settembre 95,7,ViaVeneto,Good,122,321,1.9,Single Room,3,Not included
6704,Pantheon Relais,8.5,Pantheon,Very Good,237,680,0.5,Double or Twin Room,4,Breakfast included
6705,Guglielmo Marconi House,7.7,Portuense,Good,74,270,3.3,Standard Single Room,3,Breakfast included
6706,Relais San Pietro,7.4,VaticanoPrati,Good,218,324,2.7,Single Room,3,Breakfast included
6707,Il sogno di Amelie,7.5,VaticanoPrati,Good,25,335,2.5,Double or Twin Room,3,Not included
6708,Hotel Scenario,8.1,Pantheon,Very Good,452,1262,0.45,Double Room,4,Not included
6709,Bollo Apartments,8.1,Navona,Very Good,579,598,1,Double or Twin Room,3,Not included
6710,Milizie 76 Gallery,8.6,VaticanoPrati,Excellent,296,456,2.6,Deluxe Double Room,3,Not included
6711,Tiburtina Hotel Holiday,7,Tiburtino,Good,159,486,4.6,Classic Twin Room,3,Breakfast included
6712,Corso Boutique Luxury Rooms,9,Spagna,Wonderful,352,1171,1.5,Superior Double Room,4,Not included
6713,Domus Iuliae,9,RioneMonti,Wonderful,292,485,1.6,Small Double Room,4,Breakfast included
6714,The Manzoni,8.8,CentralStation,Excellent,81,415,2,Single Room with Private External Bathroom,3,Not included
6715,Hotel Le Clarisse al Pantheon,8.4,Pantheon,Very Good,502,784,0.5,Classic Double Room,3,Not included
6716,Le Stanze Di Elle,9.1,CentralStation,Wonderful,136,439,2.3,Double or Twin Room,4,Breakfast included
6717,Aldrovandi Residence City Suites,8.3,VillaBorgheseParioli,Very Good,668,648,2.5,Superior Studio,4,Breakfast included
6718,Residenza Domizia,8.3,Navona,Very Good,338,502,1,Single Room,3,Not included
6719,Charme & Chic Luxury,8.5,Pantheon,Very Good,504,1049,0.7,Deluxe Room,4,Not included
6720,NH Roma Villa Carpegna,8.1,Aurelio,Very Good,1968,406,3.6,Single Room,4,Not included
6721,Tempo Lento,9.1,SanGiovanni,Wonderful,175,461,2.9,Double or Twin Room with Private Bathroom,3,Not included
6722,B&B Isolatiberina,8.2,Trastevere,Very Good,450,439,1,Double or Twin Room with Private Bathroom,3,Breakfast included
6723,Domus Santa Caterina,8.4,CentralStation,Very Good,460,345,2.2,Double or Twin Room,3,Not included
6724,Rome Central Inn,8,VillaBorgheseParioli,Very Good,145,400,1.9,Economy Double Room,3,Not included
6725,Hotel Eliseo,7.2,ViaVeneto,Good,406,393,1.5,Single Room,4,Breakfast included
6726,Rooms Monteverde,8.1,Gianicolense,Very Good,121,237,4.2,Double Room,3,Breakfast included
6727,san cosimato suite,7.7,Trastevere,Good,268,387,1.4,Double Room,3,Not included
6728,Chez Liviana,8,CentralStation,Very Good,293,321,1.4,Single Room with Bathroom,3,Not included
6729,Jazz Style,9.1,SanGiovanni,Wonderful,307,415,2.5,Double Room,4,Breakfast included
6730,B&B Ventisei Scalini A Trastevere,7.9,Trastevere,Good,690,312,1.3,Budget Double Room,3,Breakfast included
6731,Babuino 181 - Small Luxury Hotels of the World,8.7,Spagna,Excellent,395,1084,1.5,Standard Double Room,4,Not included
6732,BoRooms,8.9,VaticanoPrati,Excellent,137,434,1.9,Twin Room with Private External Bathroom,3,Not included
6733,NiceToMeetYou,7.4,CentralStation,Good,239,298,1.8,Standard Double or Twin Room,3,Breakfast included
6734,Bdb Luxury Rooms San Pietro,7.9,Rome,Good,135,675,3.5,Double Room,3,Not included
