id,hotel_name,marks,city,satisfaction,reviews,price,distances,descriptions,stars,breakfast
4883,Hotel Unicus Palace,9.3,OldTown,Wonderful,1898,1040,0.25,Single Room,5,Not included
4884,Cracow Old Town Guest House,7.9,OldTown,Good,502,249,0.35,Studio Apartment with Kitchenette (2 Adults),3,Not included
4885,Kosmopolita Rooms,8.6,OldTown,Excellent,874,169,0.7,Single Room,3,Breakfast included
4886,Apart 3b,7.1,OldTown,Good,90,299,0.6,One-Bedroom Apartment,3,Not included
4887,Vistula Terraces Apartment,9.8,Grzegórzki,Exceptional,196,471,2.1,Apartment with Balcony,4,Not included
4888,Apartamenty Bonerowska 5,8.9,OldTown,Excellent,971,360,0.8,Standard Apartment (1 Adult) - Bonerowska 2,3,Not included
4889,Hotel Logavina 8 Free Garage Parking,8.9,Baš?aršija,Excellent,888,440,0.15,One-Bedroom Apartment,0,Not included
4890,Hostel Franz Ferdinand,8.9,Baš?aršija,Excellent,864,55,0.35,Bed in 4-Bed Mixed Dormitory Room,0,Not included
4891,Hotel Astra,8.2,Baš?aršija,Very Good,230,343,0.35,Double Room,4,Breakfast included
4892,Hotel Colors Inn,9.6,Sarajevo,Exceptional,664,468,1.3,Double Room,4,Breakfast included
4893,Guesthouse Bebek,9.4,Baš?aršija,Wonderful,242,189,0.25,Double or Twin Room,3,Not included
4894,Hotel Grad,8.8,Sarajevo,Excellent,381,256,4.6,Deluxe Double or Twin Room with City View,4,Not included
4895,?sa Begov Hamam Hotel,8.9,Baš?aršija,Excellent,1028,295,0.3,Basic Twin Room,4,Breakfast included
4896,Hotel Sana,9.3,Baš?aršija,Wonderful,1082,365,0.05,Double or Twin Room,4,Breakfast included
4897,Hotel Bistrik City Center,8.4,Sarajevo,Very Good,324,270,0.7,Standard Twin Room,4,Breakfast included
4898,Guesthouse Kod Keme,9.3,Baš?aršija,Wonderful,178,117,0.2,Single Room,0,Not included
4899,Hotel Boutique Libris,8,Sarajevo,Very Good,1130,248,0.4,Single Room,0,Not included
4900,Hotel Nova Bentbaša,8.2,Sarajevo,Very Good,891,154,0.6,Economy Single Room,0,Breakfast included
4901,Swissotel Sarajevo,9.1,Sarajevo,Wonderful,1263,613,1.9,Standard Double or Twin Room,5,Breakfast included
4902,Novotel Sarajevo Bristol,9.1,Sarajevo,Wonderful,353,426,3.3,Superior Queen Room - Lane Side,4,Breakfast included
4903,Hotel President Sarajevo,9,Baš?aršija,Wonderful,1558,403,0.2,Single Standard,4,Breakfast included
4904,Residence Prime Luxury,9.1,Baš?aršija,Wonderful,165,240,0.6,Standard Double Room,3,Not included
4905,Hotel Boutique 36,8.9,Sarajevo,Excellent,509,198,0.25,Single Room,4,Not included
4906,Hideaway Rooms & Apartments Sarajevo,9,Baš?aršija,Wonderful,219,122,0.9,Single Room with Bathroom,3,Not included
4907,Old Town Hotel,9.4,Baš?aršija,Wonderful,806,309,0.2,Single Room,4,Breakfast included
4908,Zaarania,8.9,Sarajevo,Excellent,476,140,0.45,Double Room,3,Not included
4909,Hotel Hayat,7.2,Sarajevo,Good,1536,225,0.25,Economy Double Room,3,Not included
4910,Hotel Cosmopolit,8.7,Baš?aršija,Excellent,219,236,1,Budget Double Room,3,Not included
4911,Hotel Berr,8.8,Sarajevo,Excellent,104,304,0.2,Double Room,4,Not included
4912,Hotel Lula,8.9,Baš?aršija,Excellent,581,202,0.15,Single Room,0,Not included
4913,Aldi,9.6,Baš?aršija,Exceptional,162,133,0.25,Twin Room with Private Bathroom,3,Not included
4914,Holiday at the Baš?aršija,0,Sarajevo,Not calified,0,84,0.4,Single Room,0,Not included
4915,?sa Begov Hamam Hotel,8.9,Baš?aršija,Excellent,1028,328,0.3,Basic Twin Room,4,Breakfast included
4916,Swissotel Sarajevo,9.1,Sarajevo,Wonderful,1263,613,1.9,Standard Double or Twin Room,5,Breakfast included
4917,Riverside Residence,9,Baš?aršija,Wonderful,304,211,0.25,Double Room,4,Not included
4918,Pansion Sunce,2.3,Sarajevo,Review score,3,80,5.4,Single Room,0,Not included
4919,Hostel Center,9.8,Baš?aršija,Exceptional,11,89,0.15,Standard Single Room with Shared Bathroom,0,Not included
4920,VIP Apartments,8.6,Sarajevo,Excellent,228,207,10.5,One-Bedroom Apartment,4,Not included
4921,Hotel Berr,8.8,Sarajevo,Excellent,104,304,0.2,Double Room,4,Not included
4922,Apartman Mia Bobito,0,Sarajevo,Not calified,0,168,1,One-Bedroom Apartment,0,Not included
4923,Hotel Sana,9.3,Baš?aršija,Wonderful,1082,365,0.05,Double or Twin Room,4,Breakfast included
4924,Malak Regency Hotel,9,Sarajevo,Wonderful,1766,342,10.5,Classic Double Room,5,Breakfast included
4925,""" Relax & Enjoy """,9.5,Sarajevo,Exceptional,80,94,1,Studio,3,Not included
4926,Hotel Villa Orient,8.1,Baš?aršija,Very Good,598,182,0.2,Single Room,3,Breakfast included
4927,Hotel Boutique Bristol,8.7,Sarajevo,Excellent,538,239,3.3,Deluxe Single Room,4,Not included
4928,Bed and Breakfast M Jasmin,9.2,Sarajevo,Wonderful,4,108,3.4,Single Room,0,Breakfast included
4929,Zaarania,8.9,Sarajevo,Excellent,476,140,0.45,Double Room,3,Not included
4930,Toplik,9.4,Sarajevo,Wonderful,513,140,0.45,Superior Triple Room,4,Not included
4931,Hotel President Sarajevo,9,Baš?aršija,Wonderful,1558,403,0.2,Single Standard,4,Breakfast included
4932,Villa Borak Sarajevo,8.7,Sarajevo,Excellent,215,147,1.9,Studio Apartment,3,Not included
4933,Apartmani RALE rooms,9,Sarajevo,Wonderful,213,70,7.2,Studio,2,Not included
4934,Hotel Hills Sarajevo Congress & Thermal Spa Resort,8.6,Sarajevo,Excellent,3165,452,10.1,Deluxe Double or Twin Room with Balcony,5,Breakfast included
4935,Enjoy Apartments,9.4,Baš?aršija,Wonderful,574,194,1.1,Double or Twin Room,5,Not included
4936,Pansion River,8.2,Sarajevo,Very Good,722,187,0.6,Small Single Room with Terrace and River View,3,Breakfast included
4937,Hotel Grand,7.2,Sarajevo,Good,1195,196,2.5,Single Room,3,Breakfast included
4938,Guesthouse Biser,9.1,Sarajevo,Wonderful,354,164,0.3,Deluxe Triple Room,3,Not included
4939,Hotel Empire,8.2,Gare,Very Good,2979,539,1.4,Small Single Room,3,Not included
4940,Hotel Olivier,8,Luxembourg,Very Good,88,561,4.1,Standard Double Room,4,Not included
4941,Ibis Luxembourg Airport,7.8,Luxembourg,Good,3274,416,6.2,Standard Double Room,3,Not included
4942,Le Royal Hotels & Resorts Luxembourg,8.6,VilleHaute,Excellent,1126,1263,0.35,Traditional Double Room or Twin Room,5,Not included
4943,Hotel Perrin - former Carlton,8.7,Gare,Excellent,2952,491,1.2,Single Room,3,Not included
4944,BIVIUS eat&sleep,7.7,Luxembourg,Good,314,430,3.4,Single Room,3,Not included
4945,Mandarina Hotel Luxembourg Airport,7.3,Luxembourg,Good,4578,416,7.1,Double Room,3,Not included
4946,ibis Budget Luxembourg Aeroport,7.7,Luxembourg,Good,5592,342,6.2,Standard Twin Room,1,Not included
4947,Parc Hotel Alvisse,7.8,Luxembourg,Good,5097,580,3.6,Comfort Double or Twin Room,4,Not included
4948,NH Luxembourg,8.2,Luxembourg,Very Good,1505,678,7,Standard Double or Twin Room,4,Not included
4949,Hotel Grey,7.5,Gare,Good,1881,579,1.3,Business Single Room,4,Not included
4950,Hotel Parc Plaza,8,Luxembourg,Very Good,2769,627,0.7,Comfort Double Room,3,Not included
4951,DoubleTree by Hilton Luxembourg,7,Luxembourg,Good,5680,505,3.4,Standard Queen Room,4,Not included
4952,LÉGÈRE HOTEL Luxembourg,8.6,Luxembourg,Excellent,2599,487,10.7,Standard Double Room,4,Not included
4953,City Hotel,8.5,Gare,Very Good,1579,744,1.2,Standard Double Room,3,Not included
4954,Hotel Vauban,7.9,VilleHaute,Good,1478,702,0.1,Single Room,3,Breakfast included
4955,d'Coque Hotel,7.9,Kirchberg,Good,1941,463,2.1,Double Room,3,Breakfast included
4956,Hotel Pax,8.3,Bonnevoie,Very Good,1517,515,2.5,Single Room,3,Breakfast included
4957,Park Inn by Radisson Luxembourg City,8.5,Gare,Very Good,1385,754,1.1,Standard Double Room,3,Not included
4958,Hotel Simoncini,8.4,VilleHaute,Very Good,1494,795,0.2,Standard Double Room,4,Breakfast included
4959,Hotel Zurich,5.8,Gare,Review score,528,398,1.2,Single Room,2,Not included
4960,Hotel Parc Belle-Vue,7.6,Luxembourg,Good,2418,627,0.7,Standard Double Room,3,Not included
4961,Melia Luxembourg,8.4,Luxembourg,Very Good,3121,866,1,Standard Double Room,4,Not included
4962,Il Piccolo Mondo,7.9,Luxembourg,Good,969,304,2.7,Standard Single Room,0,Breakfast included
4963,Le Chatelet,7.9,Gare,Good,1197,609,1.1,Superior Double or Twin Room,3,Not included
4964,IntercityHotel Frankfurt Hauptbahnhof Süd,8.3,Gutleutviertel,Very Good,1853,332,1.5,Double Room,4,Not included
4965,Hotel Europa Life,8.2,Gutleutviertel,Very Good,2678,333,1.5,Economy Single Room,3,Breakfast included
4966,Meliá Frankfurt City,8.4,Westend,Very Good,2860,784,1.9,Meliá Guestroom,4,Not included
4967,Motel One Frankfurt Airport,8.3,Niederrad,Very Good,2194,380,5.6,Room with Queen Size Bed,3,Not included
4968,IntercityHotel Frankfurt Airport,7.6,FrankfurtAirportArea,Good,1714,332,11,Standard Double or Twin Room,4,Not included
4969,Turm Hotel,8.1,Nordend,Very Good,1510,418,0.7,Single Room little Gym,4,Not included
4970,Hyatt Place Frankfurt Airport,8.3,FrankfurtAirportArea,Very Good,5032,457,8.7,Standard Twin Room,4,Not included
4971,Sheraton Frankfurt Airport Hotel & Conference Center,7.7,FrankfurtAirportArea,Good,7803,873,10.3,Standard King Room,4,Not included
4972,Motel One Frankfurt-Eastside,8.5,Ostend,Very Good,722,380,2.5,Room with Queen Size Bed,3,Not included
4973,Metropolitan Hotel by Flemings,8.3,Gallusviertel,Very Good,922,558,1.4,Superior Queen Room,4,Not included
4974,"Holiday Inn Frankfurt Airport, an IHG Hotel",8.1,FrankfurtAirportArea,Very Good,7487,385,9.1,Standard Queen Room,4,Not included
4975,Europa Style,8.3,Gutleutviertel,Very Good,781,357,1.5,Classic Single Room,4,Breakfast included
4976,a&o Frankfurt Galluswarte,6.5,Gallusviertel,Review score,5179,95,2.6,Bed in 6-Bed Dormitory Room,2,Not included
4977,Bristol Hotel,7.4,Gallusviertel,Good,1441,263,1.6,Single Room,4,Not included
4978,Hilton Garden Inn Frankfurt City Centre,7.9,Bahnhofsviertel,Good,2300,554,0.9,Queen Room,4,Not included
4979,Hampton By Hilton Frankfurt Airport,8.3,FrankfurtAirportArea,Very Good,12070,446,9.1,Queen Room,3,Breakfast included
4980,Motel One Frankfurt-Römer,8.6,FrankfurtCityCenter(OldTown),Excellent,5436,474,0.4,Queen Room,3,Not included
4981,a&o Frankfurt Ostend,7.1,Ostend,Good,4579,102,2.8,Bed in 6-Bed Mixed Dormitory Room,2,Not included
4982,Pension Heimchen,7.3,Unterliederbach,Good,3,150,10.4,Single Room with Shared Shower and Toilet,0,Not included
4983,Dorint Main Taunus Frankfurt/Sulzbach,7.6,Frankfurt,Good,1454,371,11.4,Standard Room,4,Not included
4984,Leonardo Hotel Frankfurt City Center,7.5,Bahnhofsviertel,Good,4411,259,1.2,Budget Single Room,3,Not included
4985,Essential by Dorint Frankfurt-Niederrad,8,Niederrad,Very Good,2039,344,4.6,Essential Double or Twin Room,0,Not included
4986,the niu Charly,8.3,Bahnhofsviertel,Very Good,4609,361,1.3,Standard Single Room,3,Not included
4987,Pearl Design Hotel Frankfurt City,7.7,Gutleutviertel,Good,1818,380,2,Single Room,4,Not included
4988,Paulaner am Dom Wirtshaus und Hotel,8.3,FrankfurtCityCenter(OldTown),Very Good,1258,385,0.6,Standard Single Room,0,Breakfast included
4989,Pearl Design Hotel Frankfurt City,7.7,Gutleutviertel,Good,1818,380,2,Single Room,4,Not included
4990,Hotel Monopol - Central Station,6.9,Gutleutviertel,Review score,4105,317,1.4,Single Room - Mini-bar drinks free of charge,4,Not included
4991,Paulaner am Dom Wirtshaus und Hotel,8.3,FrankfurtCityCenter(OldTown),Very Good,1258,385,0.6,Standard Single Room,0,Breakfast included
4992,Hotel Victoria,8,Bahnhofsviertel,Very Good,1130,372,1,Single Room,4,Not included
4993,Moxy Frankfurt City Center,8.1,FrankfurtCityCenter(OldTown),Very Good,4471,491,0.2,Queen Room,3,Not included
4994,Scandic Frankfurt Museumsufer,8.5,Bahnhofsviertel,Very Good,6152,526,1.2,Standard Double Room,4,Not included
4995,Moxy Frankfurt Airport,8.1,FrankfurtAirportArea,Very Good,3124,385,9,"Moxy Sleeper, Guest room, 1 Queen",4,Not included
4996,Hotel Schopenhauer Hof,8.4,FrankfurtCityCenter(OldTown),Very Good,807,427,0.8,Single Room,4,Not included
4997,Leonardo Royal Hotel Frankfurt,7.4,Sachsenhausen,Good,8908,305,2.6,Comfort Double or Twin Room,4,Not included
4998,MEININGER Hotel Frankfurt Main / Airport,7.7,FrankfurtAirportArea,Good,6367,126,8.8,Bed in 6-Bed Mixed Dormitory Room,0,Not included
4999,Park Inn by Radisson Frankfurt Airport,8,FrankfurtAirportArea,Very Good,10325,408,8.9,Standard Room,3,Not included
5000,Flemings Selection Hotel Frankfurt-City,8.1,FrankfurtCityCenter(OldTown),Very Good,2697,619,0.4,Double or Twin Superior,4,Not included
5001,Maritim Hotel Frankfurt,7.7,Westend,Good,5693,617,2.1,Superior Family Room,4,Not included
5002,Motel One Frankfurt Messe,8.5,Gallusviertel,Very Good,1577,427,2.1,Room with Queen Size Bed,3,Not included
5003,Tryp by Wyndham Frankfurt,7.3,Gallusviertel,Good,684,345,2.8,Standard Single Room,3,Not included
5004,Roomers,8.4,Frankfurt,Very Good,1069,995,1.3,Small Double Room,5,Not included
5005,AZIMUT Hotel Frankfurt,8.2,Gallusviertel,Very Good,2938,596,1.6,Standard Twin Room,3,Not included
5006,Hilton Frankfurt City Centre,8.3,FrankfurtCityCenter(OldTown),Very Good,1501,1089,0.35,King Room,5,Not included
5007,Hotel am Zoo,7.3,Ostend,Good,1883,263,1.3,Single Room,3,Not included
5008,The Frankfurt,8,Bahnhofsviertel,Very Good,3287,333,1.3,Single Room,4,Not included
5009,Jugendherberge Frankfurt - Haus der Jugend,8.4,Sachsenhausen,Very Good,793,183,1.1,Bed in Male 4-Bed / 6-Bed Dormitory Room with Shower and Toilet,0,Breakfast included
5010,Adler Hotel Frankfurt,7.8,Bahnhofsviertel,Good,2126,282,1.3,Single Room,3,Breakfast included
5011,Panorama Hostel,6.4,Gallusviertel,Review score,1235,103,3.3,Bunk Bed in 12-Bed Mixed Dormitory Room,0,Not included
5012,Hotel Cristall - Frankfurt City,8.2,Gallusviertel,Very Good,2783,333,1.5,Comfort Single Room,3,Breakfast included
5013,MOXY Frankfurt East,8.3,Ostend,Very Good,1889,385,2.7,Moxy Sleeper with Queensize Bed,3,Not included
5014,Skyline Hotel City Frankfurt,7.3,Gallusviertel,Good,1468,709,1.7,Single Room,4,Not included
5015,Ambassador Hotel,7.7,Bahnhofsviertel,Good,1083,474,1.1,Single Room,3,Breakfast included
5016,Grand Hotel Dream Main City Center,7.2,FrankfurtCityCenter(OldTown),Good,1277,380,0.8,Single Room,4,Breakfast included
5017,"Capri by Fraser, Frankfurt",8.4,Gallusviertel,Very Good,1930,413,2.2,Deluxe Studio,4,Not included
5018,Best Western Premier IB Hotel Friedberger Warte,8.4,Bornheim,Very Good,1083,427,3.4,Standard Twin Room,4,Breakfast included
5019,AMERON Frankfurt Neckarvillen Boutique,8.6,Bahnhofsviertel,Excellent,965,575,0.8,Standard Single Room,4,Not included
5020,Hotel am Berg,8.3,Sachsenhausen,Very Good,518,367,2,Standard Double Room,3,Not included
5021,Residence Inn by Marriott Frankfurt City Center,7.8,FrankfurtCityCenter(OldTown),Good,2014,802,0.25,Economy Studio with Queen Bed,4,Breakfast included
5022,the niu Coin,8.4,Ostend,Very Good,4103,361,2.3,Standard Double Room,3,Not included
5023,Hotel Topas,7.9,Gallusviertel,Good,3195,234,1.6,Standard Single Room,3,Breakfast included
5024,Flemings Express Hotel Frankfurt,8.1,Gallusviertel,Very Good,4941,332,1.4,Comfort Double Room,4,Not included
5025,Mövenpick Hotel Frankfurt City Messe,7.9,Gallusviertel,Good,805,596,2.1,Classic King Room,4,Not included
5026,Mercure Residenz Frankfurt Messe,7.5,Bockenheim,Good,619,380,2.9,Standard Double Room with City View,4,Not included
5027,Hotel Hübler,8.8,Sachsenhausen,Excellent,128,338,1.2,Single Room,3,Not included
5028,the niu Air,8.3,Bockenheim,Very Good,4568,344,4.2,Standard Double Room,3,Not included
5029,Hampton By Hilton Frankfurt City Centre East,8.4,Ostend,Very Good,5367,436,2,Queen Room - Non-Smoking,3,Breakfast included
5030,Hotel Heddernheimer Hof,8.1,Heddernheim,Very Good,678,253,5.9,Economy Single Room,3,Not included
5031,Grand Hotel Empire,7.2,Gutleutviertel,Good,948,305,1.5,Standard Single Room,4,Not included
5032,THE FLAG West M.,8.3,Westend,Very Good,2968,507,1,Business Double Room,4,Not included
5033,Hampton by Hilton Frankfurt City Centre,8.2,Gallusviertel,Very Good,2598,497,2.3,Twin Room - Non-Smoking,3,Breakfast included
5034,Motel One Frankfurt-Eastside,8.5,Ostend,Very Good,722,380,2.5,Room with Queen Size Bed,3,Not included
5035,Radisson Blu Hotel Frankfurt,8.3,Bockenheim,Very Good,4669,587,3.7,Standard Room,4,Not included
5036,Frankfurt Marriott Hotel,8.4,Westend,Very Good,1834,892,2,"Guest room, 2 Twin/Single Bed(s), High floor",5,Not included
5037,"Crowne Plaza Frankfurt Congress Hotel, an IHG Hotel",7.7,Niederrad,Good,3270,364,5.4,Standard Room,4,Not included
5038,Hilton Frankfurt Airport,8.2,FrankfurtAirportArea,Very Good,4786,981,10.3,Queen Room,4,Not included
5039,Hilton Frankfurt Airport,8.2,FrankfurtAirportArea,Very Good,4786,981,10.3,Queen Room,4,Not included
5040,Living Hotel Frankfurt,8.5,Sachsenhausen,Very Good,1325,289,2.6,Business Single Room,4,Not included
5041,Hotel Villa Oriental & Restaurant,7.2,Gutleutviertel,Good,2183,267,1.5,Single Room,4,Not included
5042,Lindner Congress Hotel Frankfurt,7.7,Höchst,Good,615,330,9.1,Economy Class Single Room,4,Not included
5043,Hotel Hamburger Hof,8.3,Gallusviertel,Very Good,680,409,1.4,Superior Single Room,3,Not included
5044,Citadines City Centre Frankfurt,8.5,Gallusviertel,Very Good,2381,460,2,Classic Double Room,4,Not included
5045,Hotel Cult Frankfurt City,7.9,Sachsenhausen,Good,7529,450,1.9,Single Room,4,Breakfast included
5046,Hotel Little Paris,6.9,Gutleutviertel,Review score,1944,267,1.5,Deluxe Double Room,3,Not included
5047,Adina Apartment Hotel Frankfurt Westend,8.3,Gallusviertel,Very Good,906,470,1.8,Standard Studio,4,Not included
5048,Flemings Hotel Frankfurt Main-Riverside,8,FrankfurtCityCenter(OldTown),Very Good,2352,457,1,Superior Double Room,4,Not included
5049,Hilton Garden Inn Frankfurt Airport,8,FrankfurtAirportArea,Very Good,9498,906,10.4,Single Room,3,Not included
5050,Scope Hotel City Stay Frankfurt,5.3,Bahnhofsviertel,Review score,2636,237,1.1,Standard Double Room,3,Breakfast included
5051,Hotel Amadeus Frankfurt,8.1,BergenEnkheim,Very Good,1436,407,5.8,Basic Single Room,4,Not included
5052,Lindner Hotel & Sports Academy,8.2,Sachsenhausen,Very Good,543,385,5.8,Economy Class Room,3,Not included
5053,B&B Hotel Frankfurt-Airport,7.9,Niederrad,Good,1778,300,5.5,Twin Room,3,Not included
5054,INNSiDE by Meliá Frankfurt Ostend,8.5,Ostend,Very Good,2820,502,1.8,The INNSIDE Room,4,Not included
5055,Hotel Himalaya Frankfurt City Messe,6.6,Gutleutviertel,Review score,487,244,2,Single Room,3,Not included
5056,Hotel City Star,4.8,Bahnhofsviertel,Review score,763,235,1,Standard Single Room,3,Not included
5057,25hours Hotel The Trip,8.1,Bahnhofsviertel,Very Good,718,453,1.2,Small Room,4,Not included
5058,H4 Hotel Frankfurt Messe,8.1,Frankfurt,Very Good,1902,376,6,Comfort Single Room,4,Not included
5059,Gasthaus zum Löwen,7.9,Frankfurt,Good,212,338,8.2,Single Room,3,Breakfast included
5060,Aparthotel Adagio Frankfurt City Messe,8.4,Westend,Very Good,685,469,2.1,Studio (2 Adults),4,Not included
5061,Hotel Villa Florentina,8.6,Westend,Excellent,982,360,1.2,Single Room,3,Breakfast included
5062,B&B Hotel Frankfurt Niederrad,8,Niederrad,Very Good,626,282,5.5,Double Room,2,Not included
5063,Lindley Lindenberg,8.5,Ostend,Very Good,1662,470,2.5,Standard Double Room,4,Not included
5064,Ritter Hotel,5.5,Sachsenhausen,Review score,472,249,1.2,Single Room,2,Not included
5065,Hotel Miramar am Römer,7.5,FrankfurtCityCenter(OldTown),Good,2533,385,0.35,Single Room,3,Not included
5066,mk hotel frankfurt,7.2,Bahnhofsviertel,Good,1196,314,1,Economy Single Room,3,Not included
5067,Hilton Frankfurt Airport,8.2,FrankfurtAirportArea,Very Good,4786,981,10.3,Queen Room,4,Not included
5068,Hotel Monopol - Central Station,6.9,Gutleutviertel,Review score,4105,317,1.4,Single Room - Mini-bar drinks free of charge,4,Not included
5069,Tryp by Wyndham Frankfurt,7.3,Gallusviertel,Good,684,345,2.8,Standard Single Room,3,Not included
5070,numa I Bloc Rooms & Apartments,8.6,Westend,Excellent,995,436,0.5,Single Room,3,Not included
5071,Hotel Münchner Hof,6.6,Bahnhofsviertel,Review score,1604,244,1.1,Single Room,3,Not included
5072,ibis budget Frankfurt City Ost,7.5,Ostend,Good,1596,293,2.2,Triple Room,1,Not included
5073,Villa Hotel Frankfurt by MZ HotelCollection,9.2,Westend,Wonderful,69,522,2.2,Double or Twin Room,3,Breakfast included
5074,Hotel Palmenhof,8.3,Westend,Very Good,1121,427,1.6,Standard Single Room,4,Not included
5075,Hotel Isha,8.4,Bockenheim,Very Good,1795,282,3.3,Single Room,3,Breakfast included
5076,Hotel Schopenhauer Hof,8.4,FrankfurtCityCenter(OldTown),Very Good,807,427,0.8,Single Room,4,Not included
5077,Hotel Elbe,5.1,Bahnhofsviertel,Review score,268,216,1,Single Room,3,Not included
5078,Trip Inn Hotel Messe Westend,7.4,Westend,Good,1127,1365,1.6,Single Room,4,Not included
5079,NH Frankfurt Niederrad,7.9,Niederrad,Good,2293,328,4.8,Standard Double or Twin Room,4,Not included
5080,Hotel CityRing,4.2,Bahnhofsviertel,Review score,423,225,1,Single Room,3,Not included
5081,Leonardo Royal Hotel Frankfurt,7.4,Sachsenhausen,Good,8908,305,2.6,Comfort Double or Twin Room,4,Not included
5082,Hotel am Zoo,7.3,Ostend,Good,1883,263,1.3,Single Room,3,Not included
5083,Grand Hotel Dream Main City Center,7.2,FrankfurtCityCenter(OldTown),Good,1277,380,0.8,Single Room,4,Breakfast included
5084,Maritim Hotel Frankfurt,7.7,Westend,Good,5693,617,2.1,Superior Family Room,4,Not included
5085,SAKS Urban Design Hotel Frankfurt,8.5,Westend,Very Good,834,615,1.5,Queen Room,0,Not included
5086,The Corner Hotel,7.5,Bahnhofsviertel,Good,714,330,1.3,Comfort Single Room,3,Not included
5087,Hotel Scala Frankfurt City Centre,7.5,FrankfurtCityCenter(OldTown),Good,2189,385,0.6,Economy Single Room,3,Not included
5088,Landhotel Sulzbacher Hof,7.9,Frankfurt,Good,184,352,10.1,Standard Single Room,3,Breakfast included
5089,Gardiner House,7.8,DublinCityCentre,Good,2100,277,0.9,Bed in 18-Bed Mixed Dormitory Room with Shared Bathroom - Chapel Experience,0,Breakfast included
5090,Castle Hotel,8,ParnellSquare,Very Good,5397,605,0.6,Single Room,4,Breakfast included
5091,The Samuel Hotel,8.3,DublinCityCentre,Very Good,3514,699,1.6,Deluxe Double Room,4,Not included
5092,Riu Plaza The Gresham Dublin,8.3,DublinCityCentre,Very Good,20905,934,0.2,Standard Queen Room,4,Breakfast included
5093,Marlin Hotel Stephens Green,8.3,SaintStephen'sGreen,Very Good,6990,793,1.1,Cozy King Room,4,Not included
5094,Jacobs Inn Hostel,8.4,DublinCityCentre,Very Good,5620,256,0.6,Pod in a 8-bed Mixed Dormitory,0,Not included
5095,Clayton Hotel Burlington Road,8.3,Ballsbridge,Very Good,5212,746,2.3,Standard King Room,4,Not included
5096,Abbey Court Hostel,7.7,DublinCityCentre,Good,3659,211,0.25,1 Bed in 12 Bed Mixed Room Ensuite,0,Breakfast included
5097,The Spencer Hotel,8.3,DublinCityCentre,Very Good,2237,868,1.1,Classic Queen Room,4,Not included
5098,Trinity City Hotel,8,DublinCityCentre,Very Good,2106,840,0.6,Double Room,4,Not included
5099,Generator Dublin,7.4,DublinCityCentre,Good,4541,278,1.2,Bed in 6-Bed Mixed Dormitory Room with Shared Bathroom and Toilet,3,Not included
5100,Harding Hotel,8.6,TempleBar,Excellent,1961,746,0.9,Double or Twin Room,3,Not included
5101,The Lansdowne Hotel,7.5,Ballsbridge,Good,1333,520,2.3,Single Room,3,Not included
5102,Herbert Park Hotel and Park Residence,8.6,Ballsbridge,Excellent,2090,774,3,Standard Single Room,4,Not included
5103,The Morgan Hotel,8.6,TempleBar,Excellent,1383,901,0.45,Signature Queen Room,4,Not included
5104,Mespil Hotel,8.9,Ballsbridge,Excellent,2194,746,2,Executive King Room,4,Not included
5105,Albany House,8.3,SaintStephen'sGreen,Very Good,1706,727,1.5,Single Room,3,Not included
5106,Harcourt Hotel,7.6,SaintStephen'sGreen,Good,4096,558,1.7,Twin Room (Maximum Occupancy: 2 People),3,Not included
5107,Clayton Hotel Cardiff Lane,7.8,DublinCityCentre,Good,6668,887,1.4,Deluxe Double & Single Room,4,Not included
5108,KGT House,6.6,ParnellSquare,Review score,1102,197,0.8,Bed in 16 - Bed Mixed Dormitory Room,0,Not included
5109,Ashfield Hostel,7.5,DublinCityCentre,Good,1382,198,0.45,1 Bed in a 18 Bedded Mixed Room Ensuite,0,Not included
5110,Abigail's Hostel,7.8,TempleBar,Good,2485,216,0.4,1 bed in a 10 bed Female Dorm En Suite,0,Not included
5111,Maldron Hotel Merrion Road,8.4,Dublin,Very Good,731,840,5.7,Deluxe Double & Single Room,4,Not included
5112,Harrington Hall,8.4,SaintStephen'sGreen,Very Good,1218,699,1.6,Double Room,4,Not included
5113,Grand Canal Hotel,8.6,Ballsbridge,Excellent,3133,793,2,Double Room,4,Not included
5114,Maldron Hotel Kevin Street,8.3,DublinCityCentre,Very Good,5065,793,1.5,Deluxe Twin Room,4,Not included
5115,The Hendrick Smithfield,8.1,DublinCityCentre,Very Good,3949,746,1.4,Double Room,0,Not included
5116,Iveagh Garden Hotel,8.7,SaintStephen'sGreen,Excellent,2755,610,1.5,City Pod Room,4,Not included
5117,Hyatt Centric The Liberties Dublin,9,DublinCityCentre,Wonderful,2683,1056,1.5,King Room,4,Not included
5118,Grand Canal Hotel,8.6,Ballsbridge,Excellent,3133,793,2,Double Room,4,Not included
5119,Pembroke Townhouse,8.6,Ballsbridge,Excellent,1754,746,2.5,Double Room,4,Not included
5120,Maldron Hotel Pearse Street,8,DublinCityCentre,Very Good,2637,840,1.3,Double & Single Room,4,Not included
5121,Cassidys Hotel,8.2,ParnellSquare,Very Good,3331,723,0.4,Double Room,3,Not included
5122,Clayton Hotel Ballsbridge,7.9,Ballsbridge,Good,4143,1075,3.6,Double Room,4,Not included
5123,Leevin Hostel George,7.5,ParnellSquare,Good,304,327,0.5,Bed in 6-Bed Female Dormitory Room,0,Not included
5124,Arthaus Hotel,8.7,SaintStephen'sGreen,Excellent,1339,934,1.2,Standard Queen Room,4,Not included
